Name,Age,last_3_yr_avg,predicted_minutes
Brad Wanamaker,31.0,921.6666666666666,763.488006727452
Alize Johnson,24.0,123.66666666666667,467.75396051088796
Theo Pinson,25.0,203.33333333333334,482.9350338075901
Juan Toscano-Anderson,27.0,689.5,770.9558984917379
DaQuan Jeffries,23.0,317.0,667.7921530135934
Oshae Brissett,22.0,327.0,723.2997030380643
Kelan Martin,25.0,408.5,644.6779618900508
Moses Brown,21.0,476.5,888.7819328391553
Isaiah Hartenstein,22.0,348.6666666666667,740.3805971491284
Jordan McLaughlin,24.0,764.0,972.5600772394126
Javonte Green,27.0,470.5,598.3074764768287
Max Strus,24.0,256.5,572.4729805610269
Gabe Vincent,24.0,369.0,661.1622384453982
Matt Thomas,26.0,383.0,576.951003001511
Chris Silva,24.0,219.0,542.90989459957
Brian Bowen,22.0,23.0,483.6416195105189
Tremont Waters,23.0,178.5,558.6058221959453
Derrick Walton,24.0,197.5,525.9603919816678
Davon Reed,23.0,144.5,531.8019575908909
Justin James,24.0,271.0,583.9040404661237
Kyle Guy,23.0,122.5,514.4582804935027
Tacko Fall,25.0,84.5,389.2528991830618
Tyler Cook,23.0,246.0,611.819376926568
Devontae Cacok,24.0,53.5,412.4381418896728
Garrison Mathews,24.0,632.5,868.8921891345699
DaQuan Jeffries,23.0,317.0,667.7921530135934
Didi Louzada,21.0,56.0,557.2811955913501
Xavier Tillman Sr.,22.0,1085.0,1320.8682139389832
Tyrell Terry,20.0,56.0,604.9052560260991
Vernon Carey Jr.,19.0,115.0,699.0419050402071
Robert Woodard,21.0,45.0,548.6093570426559
Elijah Hughes,22.0,64.0,515.9639268283787
Tre Jones,21.0,269.0,725.1995238524262
Jahmi'us Ramsey,19.0,94.0,682.4865769017912
CJ Elleby,20.0,192.0,712.1207144463167
Isaiah Joe,21.0,383.0,815.0713051752557
Naji Marshall,23.0,700.0,969.7298042999416
Jordan Nwora,22.0,274.0,681.5172082125383
Sam Merrill,24.0,233.0,553.9467800251805
Mamadi Diakite,24.0,141.0,481.4186757997393
Anthony Gill,28.0,218.0,351.62530390160214
Paul Reed,21.0,177.0,652.6714196269849
Kenyon Martin Jr.,20.0,1068.0,1402.7144025059538
Jae'Sean Tate,25.0,2043.0,1933.234335330093
Lamar Stevens,23.0,499.0,811.2716635465317
Saben Lee,21.0,781.0,1128.8341908461866
Armoni Brooks,22.0,520.0,875.4510521196967
Malik Fitts,23.0,11.0,426.5573715681037
Jaylen Morris,23.0,63.5,467.9456919141437
Emanuel Terry,22.0,23.0,483.6416195105189
Devin Cannady,24.0,74.0,428.59929554860264
Admiral Schofield,22.0,368.0,755.6220103559241
Jalen Lecque,20.0,22.0,578.1013914210447
Cameron Oliver,24.0,87.0,438.847832015241
Cameron Oliver,24.0,87.0,438.847832015241
Nate Hinton,21.0,93.0,586.450107073321
Cassius Stanley,21.0,93.0,586.450107073321
J.R. Smith,34.0,848.3333333333334,562.8035684319115
George Hill,34.0,1081.6666666666667,746.7516588587555
DeMarre Carroll,33.0,1391.0,1038.2383306022346
Guerschon Yabusele,23.0,243.0,609.4543300496515
Kyle Singler,29.0,473.6666666666667,505.5557939774095
Josh Hall,20.0,336.0,825.6429645383118
Patrick Patterson,31.0,739.6666666666666,620.0084961945138
Shaun Livingston,33.0,1147.0,845.8811846130205
Shaun Livingston,33.0,1147.0,845.8811846130205
Admiral Schofield,22.0,368.0,755.6220103559241
Troy Williams,24.0,392.0,679.2942645017586
Demetrius Jackson,24.0,45.333333333333336,405.99995872473323
Cade Cunningham,,,
Jalen Green,,,
Evan Mobley,,,
Scottie Barnes,,,
Jalen Suggs,,,
Josh Giddey,,,
Jonathan Kuminga,,,
Franz Wagner,,,
Davion Mitchell,,,
Ziaire Williams,,,
James Bouknight,,,
Joshua Primo,,,
Chris Duarte,,,
Moses Moody,,,
Corey Kispert,,,
Alperen Şengün,,,
Trey Murphy III,,,
Tre Mann,,,
Kai Jones,,,
Jalen Johnson,,,
Keon Johnson,,,
Isaiah Jackson,,,
Leandro Bolmaro,,,
Usman Garuba,,,
Josh Christopher,,,
Quentin Grimes,,,
Bones Hyland,,,
Cameron Thomas,,,
Jaden Springer,,,
Day'Ron Sharpe,,,
Jeremiah Robinson-Earl,,,
Santi Aldama,,,
Svi Mykhailiuk,,,
Herb Jones,,,
Kevin Pangos,,,
Omer Yurtseven,,,
Isaiah Todd,,,
Omer Yurtseven,,,
JT Thor,,,
Jason Preston,,,
Isaiah Livers,,,
Greg Brown III,,,
Miles McBride,,,
Brandon Boston Jr.,,,
Marko Simonovic,,,
Vit Krejci,,,
Charles Bassey,,,
Jordan Goodwin,,,
Dalano Banton,,,
Jock Landale,,,
M.J. Walker,,,
Terry Taylor,,,
Ayo Dosunmu,,,
David Duke,,,
Georgios Kalaitzakis,,,
Ishmail Wainright,,,
Devontae Shuler,,,
Nino Johnson,,,
Alex Antetokounmpo,,,
Denzel Mahoney,,,
Jeff Dowtin,,,
Hassani Gravett,,,
Aamir Simms,,,
John Petty Jr.,,,
Isaiah Miller,,,
Matt Lewis,,,
Javin DeLaurier,,,
Micah Potter,,,
Javonte Smart,,,
